trail_name, distance, state, surface
Mill Valley/Sausalito Multiuse Pathway,3.7 mi,State: CA,Asphalt
Miller Creek Trail,0.6 mi,State: CA,Asphalt
Miners Ravine Trail,7.5 mi,State: CA,Asphalt
Mission Bay Bike Path,11.4 mi,State: CA,Concrete
Mission Beach-Pacific Beach Boardwalk,3 mi,State: CA,Concrete
Monterey Bay Coastal Recreation Trail,18 mi,State: CA,Asphalt, Concrete
Mori Ridge Trail,1.17 mi,State: CA,Dirt
Morro Bay Harborwalk,0.5 mi,State: CA,Asphalt
NWP Railroad Trail,1.31 mi,State: CA,Asphalt, Crushed Stone
Napa River Trail,4.2 mi,State: CA,Asphalt
Napa Valley Vine Trail,18 mi,State: CA,Asphalt, Concrete
Natomas Westlake Path,1.3 mi,State: CA,Asphalt, Concrete
Natomas Westside Path,4 mi,State: CA,Asphalt
Nimitz Way,4.1 mi,State: CA,Asphalt
Ninos Parkway,1.3 mi,State: CA,Asphalt
North Davis Greenways,7 mi,State: CA,Asphalt, Concrete
North Natomas Park Network Trails,8.4 mi,State: CA,Asphalt, Concrete
North Redondo Beach Bikeway,0.8 mi,State: CA,Concrete
North Waterford Connector,0.4 mi,State: CA,Asphalt
Northwestern Pacific Rail Trail,0.8 mi,State: CA,Asphalt
Novato Boulevard Path,1.3 mi,State: CA,Asphalt
Oak Parkway Trail,2.2 mi,State: CA,Asphalt
Oceanfront Boardwalk,2.9 mi,State: CA,Concrete
Ohlone Greenway,5.3 mi,State: CA,Asphalt
Ohlone Loop Trail,3 mi,State: CA,Concrete
Ojai Valley Trail,9.3 mi,State: CA,Asphalt
Old Highway 40 Bike Path,2.8 mi,State: CA,Asphalt
Old Railroad Grade,4.4 mi,State: CA,Ballast, Dirt
Omer Rains Coastal Bike Trail,4.1 mi,State: CA,Asphalt, Concrete
Orange Cove Rails to Trails,1.25 mi,State: CA,Asphalt
Orange Line Bike Path,18.1 mi,State: CA,Asphalt, Concrete
Oso Creek Trail,4.1 mi,State: CA,Asphalt
Pacheco Hill Path,1.2 mi,State: CA,Asphalt
Pacific Electric Bike Trail,2.1 mi,State: CA,Asphalt
Pacific Electric Inland Empire Trail,18.1 mi,State: CA,Asphalt, Concrete, Crushed Stone
Pacific Gas and Electric Greenbelt,2.6 mi,State: CA,Asphalt
Paradise Memorial Trailway,5.2 mi,State: CA,Asphalt
Pat Lowe Memorial Bike Path,1.7 mi,State: CA,Asphalt
Penitencia Creek Trail,2.8 mi,State: CA,Asphalt, Gravel
Permanente Creek Trail,1.5 mi,State: CA,Asphalt, Concrete
Petaluma Trails,12.5 mi,State: CA,Asphalt, Dirt
Peters Canyon Bikeway,2.9 mi,State: CA,Asphalt, Concrete, Crushed Stone
Peters Canyon Trail,4.6 mi,State: CA,Asphalt, Concrete
Pinedrop Trail,1.2 mi,State: CA,Asphalt
Pope-Baldwin Bike Path,3.6 mi,State: CA,Asphalt
